Accession	PSMs_Used_CarbonSources	TotInt_126C_CarbonSources	TotInt_127N_CarbonSources	TotInt_127C_CarbonSources	TotInt_128N_CarbonSources	TotInt_128C_CarbonSources	TotInt_129N_CarbonSources	TotInt_129C_CarbonSources	TotInt_130N_CarbonSources	TotInt_130C_CarbonSources
sp|A5Z2X5|YP010_YEAST	12	434870.5139	473424.0431	518021.4183	466942.1469	480719.9171	486680.4733	2008611.997	1808441.534	2080679.513
sp|O13297|CET1_YEAST	54	7102917.83	6297412.869	7212972.774	5664363.36	5510791.685	5402978.524	7015493.191	5658530.347	6461710.207
sp|O13329|FOB1_YEAST	13	928614.5159	799341.9067	919308.644	768499.4351	684007.1675	691295.8208	954337.6235	862639.7122	976627.1165
sp|O13525|COQ4_YEAST	10	1364991.644	1257328.257	1435121.107	1516429.517	1257043.993	1483486.117	1718962.035	1338943.359	1542220.703
sp|O13539|THP2_YEAST	8	381979.1313	388825.9133	423356.2271	558700.9766	628930.0483	551878.6816	323652.9473	268662.9067	288215.5449
sp|O13547|CCW14_YEAST	9	162572.9597	125698.9734	145048.063	106147.5518	91383.28168	92327.40979	626093.4346	601351.7549	666965.1016
sp|O13563|RPN13_YEAST	15	2081458.821	1943819.416	2326065.284	1691612.529	1912903.971	1597794.352	1959632.111	1558984.303	1909982.026
sp|O13577|DIF1_YEAST	2	12743.70313	17205.86035	16442.98633	10914.65894	10458.76221	10523.42847	11902.4917	9385.303955	10188.54492
sp|O13585|YP089_YEAST	23	1406535.954	1347691.715	1427430.444	1583519.356	1298169.023	1458733.851	1429811.198	1294263.872	1322297.44
sp|O14455|RL36B_YEAST	30	38167150.41	30912125.64	38021098.31	16468146.48	15022326.76	14104198.77	20260471.62	16804872.66	20672025.3
sp|O14467|MBF1_YEAST	56	112988873.7	97495425.56	120319899.4	49908934.04	54342947.2	48381379.97	74966469.39	65528638.59	75544921.64
sp|O43137|YB085_YEAST	18	7506919.832	7356975.062	8144331.939	5293754.598	7383324.604	6089770.969	7721358.995	6455459.302	6853225.731
sp|O60200|MDM35_YEAST	7	378017.6029	379099.2369	434694.7344	414307.4973	422936.8684	379049.0146	394523.6416	310419.6899	354645.2876
sp|O74700|TIM9_YEAST	20	9061069.952	9165789.055	10019852.03	6394727.521	6013581.196	5669504.861	9066122.904	8297240.261	9748402.206
sp|O75012|MRP10_YEAST	4	1352423.703	1179553.141	1265937.281	624939.625	532216.8125	519186.2344	1043921.313	1046365.469	1120320.922
sp|O94742|SEM1_YEAST	5	2325831.761	2561886.659	2638644.253	2026341.425	2169611.91	2184202.115	2520495.663	2105607.043	2488688.314
sp|P00044|CYC1_YEAST	48	23032252.36	22067906.55	27228219.28	11909982.72	10233378.41	10253549.38	27698706.98	24158838.68	25487044.73
sp|P00045|CYC7_YEAST	14	13081496.96	10492281.15	12665158.35	6912562.8	6757769.04	6417077.948	12250496.74	9435052.714	12279406.01
sp|P00127|QCR6_YEAST	17	6313638.946	5456794.416	6196697.128	2861251.948	2626412.546	2783522.711	11181287.68	9921504.149	11451383.36
sp|P00128|QCR7_YEAST	33	4303250.089	6179751.752	6112861.636	7839864.222	7953477.943	7546956.687	15021133.68	13756634.45	15556045.21
sp|P00175|CYB2_YEAST	44	5790263.952	4941815.511	5539482.008	1585637.063	1659171.538	1673206.809	15005935.1	13367100.59	16295756.55
sp|P00330|ADH1_YEAST	334	127037308.9	123270645.1	141282862.8	163135251.3	179980759.8	165869231.3	225226217.6	187225575.8	194017644.4
sp|P00331|ADH2_YEAST	18	2521511.529	2189492.494	2494548.004	2250758.384	2347447.585	2266906.567	10772511.64	10600057.68	8308661.535
sp|P00360|G3P1_YEAST	507	280529458	282524306.1	317295717.2	311445849.1	323605859.8	287405412.1	545033797.3	436743928	506865365.9
sp|P00410|COX2_YEAST	90	19568570.55	16313101	17810002.8	9568572.722	8627271.115	8938503.961	42240028.58	36229732.49	44919432.1
sp|P00420|COX3_YEAST	7	296477.9033	284863.3428	283592.4199	251158.4072	222566.2725	277446.2412	390022.6641	479393.7754	463387.2344
sp|P00424|COX5A_YEAST	52	15040439.21	13864743.12	14671039.79	9416981.661	8930437.328	9316013.275	51859854.7	42045481.2	51316135.17
sp|P00425|COX5B_YEAST	24	8101582.167	6776595.221	8063410.154	3731362.254	3289119.34	3476850.553	8939885.806	7495136.574	8987959.192
sp|P00427|COX6_YEAST	48	30417339.21	28440599.85	30857306.28	24085426.2	23793554.41	23850463.19	87338201.54	71545605.54	87024440
sp|P00431|CCPR_YEAST	115	32331792.91	27450033.71	31692709.87	13406029.84	13444482.72	12561633.61	52465000.8	43384431.71	50344121.25
sp|P00445|SODC_YEAST	128	133337259.4	117475531.2	140101331.7	95310303.19	98875295.19	92092502.81	201231126.6	154058056.2	182267483.2
sp|P00447|SODM_YEAST	172	41303149.84	41430332.93	42913947.72	24457752.2	22661345.7	24340458.64	119495889.9	103056770.5	124069785.4
sp|P00498|HIS1_YEAST	44	35357501.96	32295726.45	40513034.35	53135353.13	56702943.89	53877498.41	18099391.65	14820691.05	15560330.99
sp|P00546|CDK1_YEAST	23	3363752.137	3025673.518	3563567.314	2928271.308	2736791.981	2719349.213	2197601.135	1787853.988	2003480.92
sp|P00549|KPYK1_YEAST	742	315610986.2	295620608	342057562.1	885638695.7	970141127.5	985661103.7	322264593.6	280844036.8	255640001.8
sp|P00560|PGK_YEAST	830	685290840	659752718.5	758839405.8	1155942687	1228536485	1112138794	940505172.8	746820698	832335999.6
sp|P00572|KTHY_YEAST	8	271401.2871	320977.7119	366490.3975	661962.6191	724091.1152	697866.3086	385508.0352	345413.9517	318546.436
sp|P00724|INV2_YEAST	45	2343068.257	2573353.594	2682331.68	3442057.845	3509985.76	3680514.759	16217984.02	13563712.52	15343101.79
sp|P00729|CBPY_YEAST	79	10374589.15	9255264.746	9555396.934	6508972.193	5996571.119	6180466.643	13311852.66	11210053.77	13845525.68
sp|P00812|ARGI_YEAST	40	7740865.563	7904959.449	9402201.822	7621350.957	7122688.204	6866396.422	6096718.798	5409130.282	5623462.013
sp|P00815|HIS2_YEAST	98	16498262.89	15378558.75	17309458.84	42276233.47	48151161.75	45823538.71	12525299.99	10079647.94	9641058.577
sp|P00817|IPYR_YEAST	112	25961543.83	24458189.19	26956003.43	44061707.83	45078241.07	46952059.14	24712002.63	21454166.99	22085437.04
sp|P00830|ATPB_YEAST	253	54448515.45	50896914.68	54072743.3	40420898.57	41350637.65	38358353.85	86026323.45	73123818.65	87412061.01
sp|P00854|ATP6_YEAST	11	526245.8319	493818.1926	470029.4327	176090.9775	159868.5647	182564.3462	570197.502	713749.7612	655198.6691
sp|P00890|CISY1_YEAST	260	68616005.82	64969532.25	71889927.63	138914837.1	118582559.7	134552276.7	117572113.6	100600281.5	112203165.4
sp|P00899|TRPE_YEAST	74	12310042.03	11436618.07	12474132.67	11962902.66	12380184.14	11815230.9	10030842.64	8166626.386	8841148.452
sp|P00912|TRPF_YEAST	6	689237.7139	793672.1562	886268.0283	691048.0723	689606.5078	714588.0273	1087887.6	967768.2129	954132.5
sp|P00924|ENO1_YEAST	180	54379623.09	60031604.53	73374072.21	137918455.6	149262938.2	122380038.8	152789941.5	124982598.9	123457139.6
sp|P00925|ENO2_YEAST	331	80697489.07	90308507.2	107246769.6	420065492.7	457479952.9	444533575.3	135519619	118165918.7	102015429.5
sp|P00927|THDH_YEAST	76	6187142.905	5711294.401	6450287.996	9557774.693	10482321.76	9890806.128	6117970.848	5012715.633	5574680.058
sp|P00931|TRP_YEAST	173	31902578.2	32185695.75	36322273.38	47177130.91	44430066.57	44590246.27	53036800.71	45422765.75	49849979.08
sp|P00937|TRPG_YEAST	21	1716207.458	1629212.074	1937093.471	5136871.398	5963766.884	5688641.183	1351834.549	1258595.568	1065622.357
sp|P00942|TPIS_YEAST	741	548821673.4	463970710.1	505308269	313470782.4	282620087.7	295966274.3	491762380.7	437837599.2	530399458.4
sp|P00950|PMG1_YEAST	403	394259748.6	385593497.4	432120850.1	352568174.3	344692194.9	329435737.9	383351210.2	327263900.8	376588861.3
sp|P00958|SYMC_YEAST	103	16279925.53	14227362.19	16365578.71	25946841.49	25727892.5	26751385.7	12873178.46	10274073.34	11382560.98
sp|P01094|IPA3_YEAST	21	6305045.472	6401544.063	6998392.653	5352236.695	5491416.085	5526280.404	35954178.97	28931377.83	34236931
sp|P01097|ATIF_YEAST	20	110556513.2	100369496.3	120419849	35731953.22	33260267.48	30239678.44	104295105.3	91913882.79	98680969.44
sp|P01098|STF1_YEAST	9	9824501.063	10212820.98	11130755.76	11751306.16	11077147.36	10431702.06	18595543.6	16334160.85	14666128.5
sp|P01119|RAS1_YEAST	30	4693610.042	4232042.171	4668483.476	2942309.987	2971745.253	3051415.148	3987638.744	3228170.787	3794001.636
sp|P01120|RAS2_YEAST	77	12554886.84	10619147.37	12032300.39	9304286.1	9179873.842	9334357.7	15106492.1	12627951.56	15250423.46
sp|P01123|YPT1_YEAST	86	90334730.79	76323743.59	90691724.85	56543043.05	54174476.13	53025213.33	82821621.13	68466349.17	84288926.54
sp|P02309|H4_YEAST	70	31019613.7	27322798.88	29511527.48	35950343.12	31899351.97	32094436.15	38029698.99	33256625.58	38538637
sp|P02381|RMAR_YEAST	45	9129335.37	7864690.394	8810741.708	6893510.602	5748700.153	6403195.518	9165978.117	7848190.371	8659631.392
sp|P02400|RLA4_YEAST	537	115519003.4	100767227.3	104582099.1	64242312.43	58677995.43	61441949.08	90649528.22	79434228.23	93121754.9
sp|P02406|RL28_YEAST	95	168178698.5	149188626.2	162374688.3	141757060.9	130829027.6	130096482.1	144573122.2	129921293.3	141390316.5
sp|P02407|RS17A_YEAST (+1)	62	37959628.22	45917084.26	54519289.52	54493395.91	49977326.99	48922425.51	37706320.9	32930011.87	33533919.89
sp|P02557|TBB_YEAST	48	3650242.433	3759228.68	4445468.65	9905876.12	10423282.12	10217766.64	5613627.182	4521395.396	4327513.45
sp|P02829|HSP82_YEAST	39	7105124.819	7017945.479	7968204.844	13653608.31	13813406.27	14740419.48	7061680.403	6262385.814	5800718.177
sp|P02992|EFTU_YEAST	46	9954835.526	6804679.129	8197412.946	11857552.4	11395960.75	12275956.97	11394624.42	9425934.175	11158287.68
sp|P02994|EF1A_YEAST	519	710552482.3	651170189.6	799767793.4	957652715.1	1005528259	944872428.7	687342437.7	533913129.2	604462231.4
sp|P03069|GCN4_YEAST	4	428992.9365	403961.0283	493512.5771	423117.7451	390702.3242	376453.2168	197294.9087	163458.6333	189857.4321
sp|P03870|FLP_YEAST	4	241150.1279	206721.7803	224569.8535	136703.7861	132338.1787	131985.4951	188228.1152	176860.5088	201632.3242
sp|P03871|REP1_YEAST	41	5052572.573	4053290.812	4775570.64	4436865.637	3486081.511	3776339.736	5713905.32	5109576.237	5650476.958
sp|P03872|REP2_YEAST	24	1392437.134	1426010.356	1629050.98	1971507.843	1868923.826	1975872.422	1898905.387	1623998.853	1715264.358
sp|P03873|MBI2_YEAST	1	22954.0918	27834.06836	21220.06055	15863.86719	14397.96191	15054.39941	23582.46289	24496.55078	27895.05078
sp|P03874|CBP2_YEAST	21	1302537.381	1174309.067	1296803.657	1031305.05	873446.8391	951326.9897	1288463.064	1160911.917	1279902.473
sp|P03875|AI1M_YEAST	26	3207382.671	2822430.98	3026192.278	2640119.839	2121901.675	2153555.63	2291351.228	2263991.364	2408045.139
sp|P03876|AI2M_YEAST	12	585509.7451	573439.4885	576015.9088	628908.7068	541152.313	625661.7354	525619.6436	518022.4796	516437.0339
sp|P03877|SCE3_YEAST	8	572574.0869	495934.832	526060.5205	423514.2441	327714.0293	387527.0986	845426.4238	698467.8955	836984.9121
sp|P03878|SCE2_YEAST	8	347611.5684	339152.3184	361607.6621	389670.959	333331.1328	370802.9492	331533.5205	290895.2832	301464.2979
sp|P03879|MBI4_YEAST	7	579098.0684	598093.5801	635545.6582	296277.6826	262033.3477	273354.54	617938.7363	746907.8281	650510.543
sp|P03881|YMRF1_YEAST	11	546015.4344	490428.8677	535933.9926	283848.5256	248059.7828	273957.4334	746412.3308	644324.897	756147.2227
sp|P03965|CARB_YEAST	103	11827759.51	11260000.58	12957274.12	30056515.57	28633192.9	31356314.28	12309765.92	10773635.63	12230086.17
sp|P04037|COX4_YEAST	49	4088875.864	4027281.849	3988619.761	3152486.986	3094566.576	3296175.484	13236813.8	11242400.09	13614258.01
sp|P04046|PUR1_YEAST	50	16605344.5	17261287.92	18617499.63	29579140.48	30570676.65	28241269.21	13917311.74	11910033.25	12193179.15
sp|P04050|RPB1_YEAST	119	13273604.1	12556425.42	13611646.83	15785607.91	16264560.76	16040169.65	12256370.49	10522829.3	11383200.73
sp|P04051|RPC1_YEAST	64	5439818.167	4839232.542	5634829.132	7781374.618	7606650.692	7832263.102	5645696.681	4893015.37	5315145.168
sp|P04076|ARLY_YEAST	77	15501922.39	14079264.39	15585175.54	24914708.48	24350603.66	25700406.82	14316530.11	12565482.53	13066985.07
sp|P04147|PABP_YEAST	298	59487040.04	57673847.97	67214670.45	52877886.89	57766501.88	53663503.72	51408766.68	41907238.72	47775388.52
sp|P04161|PUR3_YEAST	12	2792375.446	2919738.374	3181874.115	5045865.856	5261081.636	5765911.055	2542246.455	2155243.465	2091219.101
sp|P04173|LEU3_YEAST	4	736429.0234	698915.8887	766688.5957	481038.1406	307383.1777	309801.5352	525735.5996	420898.875	546650.0508
sp|P04385|GAL1_YEAST	268	251827251.1	186537500.3	227985449.5	14872360.63	12973381.92	3810464.916	1655140.424	1340378.597	1714885.328
sp|P04386|GAL4_YEAST	2	9794.668457	9125.542481	9488.228271	5702.01355	7096.962402	5525.030396	10541.6416	9057.566894	10666.43237
sp|P04387|GAL80_YEAST	22	7731220.833	6991277.239	7901235.493	979247.9918	857827.5334	573312.9291	508466.2116	453778.1552	471388.3267
sp|P04397|GAL10_YEAST	335	382932224.3	301328976.6	398848758.1	28428399.62	25566046.15	10340884.9	5524378.248	4521937.531	5285867.851
sp|P04449|RL24A_YEAST	14	479272.0894	495633.332	586295.5815	2271040.074	2461426	2432834.285	1075447.363	877181.2559	804455.1455
sp|P04456|RL25_YEAST	155	33796862.26	37099411.7	40287170.27	81263587.94	77971177.8	77342409.81	106939955.2	94266212.26	100641199.3
sp|P04710|ADT1_YEAST	35	1729002.663	1586690.95	1777903.427	889558.2155	950469.2163	986535.1034	10829181.7	9146183.156	11151125.27
sp|P04786|TOP1_YEAST	56	11445003.34	11058428.35	12132846.66	9005336.662	8706622.644	8816210.175	9477871.421	8314948.158	9180827.43
sp|P04801|SYTC_YEAST	247	70996016.58	62247211.45	71604307.59	63182306.14	59763001.04	60139771.15	64450951.35	57270444.9	64021821.2
sp|P04802|SYDC_YEAST	114	35495606.86	30401812.77	35720582.63	42416289.88	39868777.94	42757544.83	31003550.82	26972184.68	29491685.75
sp|P04803|SYWM_YEAST	14	831459.717	779359.6411	881837.0822	824661.3893	824256.2689	813802.4619	719631.0859	638354.6157	698506.0223
sp|P04806|HXKA_YEAST	335	78293682.02	70306674.55	80447490.58	52674572.07	49958390.25	50423558.62	146713836	114408836.6	126022115.8
sp|P04807|HXKB_YEAST	305	64001682.33	63188307.3	74486466.29	63627186.32	64227447.56	63605441.4	73409830.2	59332562.38	67208016.86
sp|P04817|CAN1_YEAST	11	2188884.067	1666767.331	1915499.016	1050301.541	922433.459	934655.3787	496128.0555	487270.3105	528378.7753
sp|P04819|DNLI1_YEAST	35	5146236.466	4713980.67	5468557.368	4484602.234	4357649.449	4339140.784	4337553.472	3464595.216	4041844.946
sp|P04821|CDC25_YEAST	48	4217382.938	4213896.763	4930026.129	3752781.252	3724034.827	3552268.32	5225306.859	4339556.584	4956602.799
sp|P04840|VDAC1_YEAST	351	84945242.19	93724235.93	101556591.6	71249628.69	70270851.55	69678058.55	207246030.8	170419316.4	208388063.9
sp|P04911|H2A1_YEAST (+1)	40	70105509.77	69999585.92	74679953.21	44230154.65	47078727.77	41087914.03	53442663.93	45664714.37	56022306.4
sp|P05030|PMA1_YEAST	196	51401125.4	45411183.02	49242628.22	64408422.54	58145723.66	67286131.5	48775626.04	41323764.62	44751821.57
sp|P05066|PHR_YEAST	32	3136630.375	2590244.677	2996501.243	1664230.581	1537378.363	1554312.889	3707676.766	3101837.072	3661489.743
sp|P05085|ARGR2_YEAST	14	562245.4976	526425.9111	553795.2224	400756.6646	367037.1401	389431.6094	590556.0125	551061.0203	625518.219
sp|P05150|OTC_YEAST	41	5556887.211	4273757.795	5303144.587	7693441.736	5874632.518	7903005.848	1737454.42	1393687.215	1417552.399
sp|P05317|RLA0_YEAST	217	183178140.2	184308328.6	208099407	257596298	263329533.7	253052866	176156159.8	150604409.2	158588270.5
sp|P05318|RLA1_YEAST	149	35671535.12	29182055.11	34121237.61	19136047.02	15325735.51	15879259.93	27285571.31	24082630.87	26038744.32
sp|P05319|RLA2_YEAST	407	147008019.1	122842460.5	133358448.7	82805138.6	74172878.26	77217766.32	112275613	99204836.93	118242809.5
sp|P05373|HEM2_YEAST	39	9183698.296	8215118.44	9715162.892	9971545.016	9184737.215	9156304.166	9224451.979	7820785.497	8478862.128
sp|P05374|CHO2_YEAST	67	17698178.38	15773354.77	17422433.19	12925873.07	12122878.43	12830958.45	18980532.67	17340640.71	19077906.26
sp|P05375|PLMT_YEAST	22	687902.2007	638571.9902	668666.0883	441022.3864	407960.4641	427539.5983	1176633.508	1097096.769	1250759.929
sp|P05453|ERF3_YEAST	87	32647894.77	27716534.83	32566317.04	26120361.09	25285179.14	26495173.13	24873817.8	20883772.03	22904995.45
sp|P05626|ATPF_YEAST	56	39830896.77	41378994.89	43195553.47	41057908.05	44214304.52	41718378.96	92906338.1	76586074.41	90758789.11
sp|P05694|METE_YEAST	241	116197043.2	119273727.9	139273718.3	141099720.4	141207346.2	120808760.9	168177199.7	143213474.2	160444582.4
sp|P05738|RL9A_YEAST	53	2500148.921	2433414.25	2781224.449	7696594.957	10416056.27	9740019.719	2879955.086	2335267.086	2157645.142
sp|P05739|RL6B_YEAST	35	28482576.92	25161536.3	30230128.49	23282208.54	20550330.61	21526279.12	18264014.95	15773906.43	15777196.27
sp|P05740|RL17A_YEAST	14	8754485.309	8319024.779	9561676.48	8095291.406	7364031.334	7205426.793	7495470.832	6443783.234	7160424.399
sp|P05743|RL26A_YEAST	6	10467216.29	9895684.285	10852550.86	6184158.635	6640380.514	5890249.229	6359296.752	5263696.271	6034680.338
sp|P05744|RL33A_YEAST	7	1923231.43	1855607.608	2264233.649	9003821.595	9755684.359	9884273.142	2328718.96	2241999.237	1553063.378
sp|P05745|RL36A_YEAST	16	18187088.62	15412542.01	17958694.82	10402014.36	9731775.625	9504968.046	10195865.68	8379800.198	10665261.76
sp|P05748|RL15A_YEAST	32	24424591.71	20614043.02	23199405.75	20658776.96	18537849.38	17955525.7	28677224.54	25328457.11	33263373.11
sp|P05749|RL22A_YEAST	79	1699260.389	1526838.668	1725755.129	4461250.642	4211650.345	4437724.929	1818435.122	1466340.491	1533065.512
sp|P05750|RS3_YEAST	207	74647214.5	71631745.89	82648242.66	125029715.6	118264690	120346761	77395294.85	64360573.89	67761690.33
sp|P05756|RS13_YEAST	98	38649933.25	36045159.26	40563582.21	66363273.12	63350072.84	66978276.3	38096356.98	34793212.08	33945531.46
sp|P05986|KAPC_YEAST	15	666584.6221	602977.2377	635603.3794	913319.873	818036.2905	855038.5024	570395.5244	494054.0562	533178.5339
sp|P06100|NOT2_YEAST	14	1620039.997	1587962.191	1826916.789	1421642.35	1393537.574	1360831.262	3299479.019	2875108.022	3408152.73
sp|P06101|CDC37_YEAST	45	6515358.973	6511061.452	7415847.753	7618615.108	8786341.358	7969618.6	6554800.079	5355048.469	5573972.682
sp|P06102|NOT3_YEAST	57	6686464.642	5837296.165	7132245.025	5864845.277	5701330.921	5646577.036	6298945.014	5299285.832	6053100.039
sp|P06103|EIF3B_YEAST	131	13751969.14	13377021.56	15840658.51	18927761.56	20604829.91	19465001.66	13089869.44	10845966.7	10700906.56
sp|P06105|SC160_YEAST	289	97847820.04	95826894.58	111451859.7	113843615.6	119651418.9	114665849.1	68254410.05	58363345.86	60709083.24
sp|P06106|CYSD_YEAST	75	22672529.27	19923078.97	24136056.64	16068320.95	18426165.21	17170857.57	9799168.02	8667620.752	8889630.417
sp|P06115|CATT_YEAST	122	20756683.74	19133527.03	22018555.91	14534975.99	16032734.52	15105959.21	70892295.11	53882682.62	66292231.01
sp|P06168|ILV5_YEAST	520	124204654.8	123779283.3	136391462.8	176545855.3	169226704.4	175405257.7	161502691.7	140612858.7	153394977.7
sp|P06169|PDC1_YEAST	358	114136513.5	109598493.4	125509292.3	395382716.2	427657900.3	418071362.6	175001117.8	149724047.3	154403711.4
sp|P06174|HEM4_YEAST	8	436088.3574	439114.4934	461908.3709	532143.6797	483314.6831	496838.1748	422102.1847	362878.0974	367954.63
sp|P06182|CCHL_YEAST	10	4517309.559	4263822.187	5143778.787	4878190.503	5272570.905	5057915.703	7088782.119	6333676.471	6658801.74
sp|P06197|PIS_YEAST	39	8786776.171	6601623.358	7767320.81	3980359.122	3352702.156	3481803.768	6501938.364	6105244.516	6866025.22
sp|P06208|LEU1_YEAST	70	18010227.21	16889950.51	18635669.84	24326726.25	25029577.69	24508881.65	24705102.04	20796197.72	21846688.92
sp|P06242|KIN28_YEAST	17	624659.7445	533134.2068	595751.1816	903014.448	741040.3896	780715.4791	590245.7662	501365.069	561885.8481
sp|P06243|CDC7_YEAST	6	346317.2559	384733.8984	430160.8379	876072.127	828824.4727	894109.2207	487128.832	412333.3086	414467.6445
sp|P06244|KAPA_YEAST	25	1854924.732	1616804.728	1660049.185	1419975.37	1282239.774	1356243.84	2401588.189	1962992.734	2338566.974
sp|P06245|KAPB_YEAST	22	3274058.228	2692337.951	3221212.934	3076267.628	2817128.167	3043112.206	4437602.583	3821962.382	4364679.061
sp|P06367|RS14A_YEAST (+1)	53	15569432.68	14841610.89	15990567.04	11971692.29	11717994.68	11312942.64	10666486.16	9092103.896	9836748.576
sp|P06634|DED1_YEAST	81	29278143.65	26631905.75	31461495.69	24857001.35	25170633.87	24621218	13660772.25	11787231.58	12690555.73
sp|P06700|SIR2_YEAST	21	1646876.118	1436144.076	1689445.392	2069632.218	1888469.105	1918989.789	1977010.017	1635926.636	1879512.996
sp|P06701|SIR3_YEAST	29	4896500.814	4185681.19	4944858.107	3601822.343	3438159.247	3378422.981	5176573.483	4345117.493	5077614.423
sp|P06704|CDC31_YEAST	20	2515395.147	2211097.023	2546604.434	1942706.477	2017565.531	1788775.113	2244528.669	1765345.098	2024490.003
sp|P06738|PHSG_YEAST	342	136779696.8	123182982.3	145537634.1	56308876.44	50476848.23	51334212.58	180476080.2	152431735.5	172097298.5
sp|P06773|DCTD_YEAST	6	166372.4736	157934.0068	177433.1401	348625.7227	362309.2295	353549.7881	130233.8281	123980.46	119089.116
sp|P06774|HAP2_YEAST	2	105737.1606	105935.6357	110441.5024	58941.65088	52672.76856	49500.33814	61490.2356	52218.96631	57467.83887
sp|P06775|HIP1_YEAST	3	263127.04	279329.8818	351424.1885	278584.5566	289596.0801	243565.8242	291180.6699	240979.2588	258302.8867
sp|P06776|PDE2_YEAST	12	3256694.49	3230392.123	3690086.14	3120203.82	2661094.525	2726152.339	2542604.474	2378607.506	2427354.363
sp|P06777|RAD1_YEAST	21	2545718.786	2499627.755	2950393.787	2211894.765	2068622.89	2055077.554	4365226.96	3668472.279	4177642.102
sp|P06778|RAD52_YEAST	31	3459691.912	3071600.08	3540383.073	2180951.965	2157023.118	2076051.101	3307610.871	2808414.351	3244212.862
sp|P06779|RAD7_YEAST	26	2813260.906	2584693.626	2844798.225	2649240.385	2518765.43	2465080.591	2878125.365	2320237.394	2674629.559
sp|P06780|RHO1_YEAST	46	10818522.26	8711484.175	10167595.78	6150386.627	5504743.809	5312585.534	10471260.13	9142214.896	10295607.34
sp|P06781|RHO2_YEAST	11	1011467.222	825243.8115	982474.0584	697578.9229	654541.7041	638436.8696	947145.4233	823891.0366	898899.6187
sp|P06782|SNF1_YEAST	61	12334509.6	11994043.56	13138737.19	12052689.09	10985058.92	11447432.29	12609310.97	10806129.82	12234764.15
sp|P06783|STE3_YEAST	7	215902.7192	208324.4038	229395.5164	142475.8518	143775.4155	146306.219	528830.0669	418184.4004	535350.0991
sp|P06784|STE7_YEAST	11	590472.1104	598223.9883	686919.8438	472845.2803	424354.0781	449025.0996	827037.7578	685625.9668	833747.8398
sp|P06785|TYSY_YEAST	24	14593424.09	12242257.11	16350670.57	8996363.188	9578010.629	8231356.246	7310027.491	5804152.992	7157296.416
sp|P06786|TOP2_YEAST	100	14428731.81	12932395.78	14614256.66	16026447.47	15606425.33	16339044.28	10924222.28	9444063.754	9973103.369
sp|P06787|CALM_YEAST	37	20202132.75	24923442.78	20323121.41	15025495.05	20995935.29	19369889.11	17386093.84	16014270.17	14911101.1
sp|P06838|RAD10_YEAST	6	400909.4843	363165.3139	398704.6899	507143.5369	434911.7399	477659.3273	579775.2842	522397.6527	577807.5811
sp|P06839|RAD3_YEAST	36	3152580.69	2493536.926	2939943.184	2641786.701	2416386.913	2502220.196	3209068.822	2810427.504	3294345.994
sp|P06843|SPT2_YEAST	19	1682880.591	1751536.292	1930943.078	1720496.362	1630751.169	1678151.304	1984884.359	1710679.755	1963183.334
sp|P07143|CY1_YEAST	131	21963964.56	18719312.72	19570818.78	10301905.74	9712379.298	9991071.003	38078708.4	30996631.85	38472578.42
sp|P07149|FAS1_YEAST	446	116179604.4	104073431.7	120496576.8	139344713.3	137195681.7	136725869.6	115339920.8	95603437	106087759.7
sp|P07170|KAD2_YEAST	55	31763179.14	32566096.95	37334062.2	42859789.76	50242797.81	41515908.73	41344193.99	31983935.3	36583563.48
sp|P07172|HIS8_YEAST	27	3274697.44	2850435.735	3610792.64	5800230.532	8234963.886	7187246.388	2364170.388	1999032.827	2033961.358
sp|P07213|TOM70_YEAST	83	23167280.37	23464717.47	27305064.57	47271562.04	54787072.22	53001228.1	36249043.83	30692586.88	32129001.52
sp|P07236|SYTM_YEAST	17	1432815.877	1351709.352	1479245.5	2287670.213	2206178.559	2314387.824	1266784.318	1127301.057	1204131.442
sp|P07244|PUR2_YEAST	135	13667265.53	13680769.92	16261293.72	34658931.35	40798145.65	38843100.7	14570072.04	12452115.77	11443591.86
sp|P07245|C1TC_YEAST	127	11041873.12	11352016.91	13102113.11	29676008.54	33266662.39	32518675.72	10629098.33	9139909.779	9323088.47
sp|P07246|ADH3_YEAST	56	8709007.477	8563159.205	10254824.79	17321729.04	17710949.52	17323699.34	11692363.54	9921020.894	9803171.904
sp|P07248|ADR1_YEAST	72	9994248.637	8993541.458	10242751.11	8968607.572	8438780.083	8283926.429	11772314.78	10303842.22	11376172.46
sp|P07250|IPMK_YEAST	10	239196.9171	232621.3629	266417.5239	330802.0189	390904.2244	353758.3265	321279.0442	253213.2017	244678.4368
sp|P07251|ATPA_YEAST	245	94616795.67	85799255.13	90759947.25	90503862.65	89761627.29	91613781.34	196921099.5	162048942.8	189587631.1
sp|P07252|CBP1_YEAST	12	1705339.114	1543414.596	1808147.365	1041640.034	873903.1816	912841.7422	1312516.706	1115844.607	1328060.694
sp|P07253|CBP6_YEAST	25	7172322.345	6789755.459	8407441.16	6491942.461	6365025.555	6038401.91	7686237.922	6551834.209	6772043.939
sp|P07255|COX9_YEAST	26	4384312.504	3660752.938	4161246.469	2673971.476	2411155.03	2581313.113	7941665.271	6599639.953	8194807.768
sp|P07256|QCR1_YEAST	113	78210652.95	73699388.46	82673796.73	50880555.31	48435637.83	47278235.59	130805983.3	111075228	127538385.2
